frame,id,3d_x,3d_y,3d_z
1,1,2.113966134,28.5601313,0.586092503
2,1,2.053296608,28.48705451,0.570179719
3,1,1.992720298,28.41399675,0.554199242
4,1,1.932107816,28.34096899,0.538156308
5,1,1.871416782,28.26789774,0.521996043
6,1,1.810804689,28.19490008,0.505807772
7,1,1.795008713,28.17310343,0.506716472
8,1,1.779341728,28.15144855,0.507653934
9,1,1.763530694,28.12964915,0.508566351
10,1,1.747791328,28.1079703,0.509490565
11,1,1.731965229,28.08616813,0.510406691
12,1,1.791150554,28.09641795,0.504028191
13,1,1.850288327,28.10676247,0.497644585
14,1,1.909396118,28.11698097,0.491319957
15,1,1.968446648,28.12718039,0.48492462
16,1,2.027510401,28.13745514,0.478574322
17,1,2.012516913,28.11282831,0.488560666
18,1,1.997553806,28.08819894,0.498624876
19,1,2.029645915,28.17405197,0.509274317
20,1,2.061763567,28.25971744,0.51995127
21,1,2.093828358,28.34556216,0.530472216
22,1,2.20363422,28.3555039,0.518188259
23,1,2.313321607,28.36532019,0.505972452
24,1,2.42295571,28.37518632,0.493667516
25,1,2.532471854,28.38492653,0.481430186
26,1,2.641934145,28.39471606,0.469103577
27,1,2.709648473,28.51576587,0.454849761
28,1,2.777065412,28.63671297,0.440691139
29,1,2.811093881,28.65064507,0.429340427
30,1,2.845066199,28.66460134,0.418014555
31,1,2.911055132,28.66331897,0.419404343
32,1,3.001267543,28.65719658,0.414496688
33,1,3.091493473,28.65105997,0.409511478
34,1,3.181694363,28.64511927,0.404563324
35,1,3.271982498,28.63900326,0.399582538
36,1,3.362150123,28.63286208,0.394635229
37,1,3.461226001,28.64052095,0.399507398
38,1,3.560164014,28.64802214,0.404339387
39,1,3.659112569,28.65545642,0.409120478
40,1,3.757999055,28.66285231,0.413870475
41,1,3.856971066,28.67030062,0.418578631
42,1,3.99630238,28.65738648,0.418537305
43,1,4.135775173,28.64447197,0.418488405
44,1,4.275240408,28.63175341,0.418411207
45,1,4.414811772,28.61883374,0.418338889
46,1,4.554340722,28.60590943,0.418250781
47,1,4.654604488,28.63607512,0.404593537
48,1,4.75471719,28.66625073,0.391048859
49,1,4.854649231,28.69650618,0.377525137
50,1,4.954487272,28.72665787,0.363990158
51,1,5.054155047,28.75678909,0.35054361
52,1,5.132604688,28.7589629,0.356843509
53,1,5.21108327,28.76113208,0.363199988
54,1,5.289463505,28.76317295,0.369478298
55,1,5.367873182,28.76520942,0.375813399
56,1,5.446328076,28.76735704,0.382089895
57,1,5.533990922,28.77821221,0.390224106
58,1,5.621768191,28.78917005,0.398353242
59,1,5.725830825,28.78042361,0.412829723
60,1,5.83007964,28.77171816,0.427211418
61,1,5.934356492,28.76284452,0.441622629
62,1,6.018459287,28.69631712,0.458525745
63,1,6.102713951,28.62953338,0.475313727
64,1,6.154257111,28.56152707,0.483433516
65,1,6.227406407,28.50409304,0.496350753
66,1,6.300732489,28.44639899,0.509220392
67,1,6.326355777,28.36970767,0.512231843
68,1,6.352121158,28.29293415,0.51532505
69,1,6.378109871,28.21631116,0.518388076
70,1,6.404297181,28.13962354,0.521546453
71,1,6.430597478,28.06305893,0.524648011
72,1,6.382259359,27.9550102,0.517643917
73,1,6.333754736,27.84701014,0.510684166
74,1,6.285176664,27.73900511,0.503602348
75,1,6.236449414,27.63107578,0.496587211
76,1,6.187632742,27.52311534,0.489427348
77,1,6.144943124,27.43765127,0.493411255
78,1,6.102236059,27.35204388,0.497361647
79,1,6.059506464,27.26650424,0.501399355
80,1,6.016665215,27.18081838,0.505399161
81,1,5.973762329,27.09521194,0.509495772
82,1,5.933673454,26.9897613,0.514820081
83,1,5.893558732,26.88426487,0.520191865
84,1,5.853346541,26.77868059,0.525575265
85,1,5.813068907,26.67306188,0.531015305
86,1,5.77270948,26.56738148,0.536489516
87,1,5.708756277,26.51099608,0.536985567
88,1,5.644621705,26.45458432,0.537476196
89,1,5.580496248,26.3981517,0.537970139
90,1,5.516269702,26.34180015,0.538390312
91,1,5.451972166,26.28532161,0.53888327
92,1,5.425526332,26.20676031,0.551989549
93,1,5.399053939,26.12813746,0.565219204
94,1,5.372494405,26.04945168,0.578434314
95,1,5.345918179,25.97069076,0.591694212
96,1,5.319244492,25.89187904,0.605017972
97,1,5.224463892,25.84431026,0.632499451
98,1,5.129483956,25.79669086,0.660003042
99,1,5.034299965,25.74915017,0.687681987
100,1,4.938890207,25.70146425,0.715466957
101,1,4.843270363,25.65373787,0.743352738
102,1,4.775337858,25.54694681,0.756891135
103,1,4.70730502,25.44006087,0.770454159
104,1,4.639020907,25.33296601,0.784179705
105,1,4.570641051,25.22589203,0.798005234
106,1,4.502051022,25.11872989,0.811932515
107,1,4.410796592,25.05107752,0.864771049
108,1,4.319246814,24.9833231,0.917875286
109,1,4.22737114,24.91540788,0.971196619
110,1,4.135198894,24.8473868,1.0247831
111,1,4.042714422,24.77922941,1.078610292
112,1,3.956402407,24.7042242,1.10465049
